"","TCGA-02-0047-01","TCGA-06-0129-01","TCGA-06-0141-01","TCGA-06-0157-01","TCGA-06-0168-01","TCGA-06-0174-01","TCGA-06-0187-01","TCGA-06-0190-01","TCGA-06-0644-01","TCGA-06-0646-01","TCGA-06-5412-01","TCGA-14-1823-01","TCGA-76-4928-01","TCGA-76-4931-01"
"GTEX-111FC-2526-SM-5GZXU",-0.0613553113553114,-0.0278846153846154,0.00128205128205128,-0.0604395604395604,-0.127838827838828,-0.0572344322344322,-0.15206043956044,0.0498626373626374,-0.154029304029304,-0.00251831501831502,-0.0849358974358974,-0.165888278388278,-0.0785714285714286,0.0184981684981685
"GTEX-111FC-2926-SM-5GZY7",-0.186355311355311,-0.127655677655678,-0.126831501831502,-0.240888278388278,-0.244459706959707,-0.291391941391941,-0.293543956043956,-0.229807692307692,-0.436630036630037,-0.177197802197802,-0.326190476190476,-0.302747252747253,-0.325869963369963,-0.14720695970696
"GTEX-111FC-3026-SM-5GZYJ",0.503159340659341,0.436492673992674,0.575091575091575,0.427106227106227,0.479945054945055,0.265201465201465,0.324221611721612,0.419139194139194,0.215659340659341,0.471520146520147,0.290613553113553,0.309111721611722,0.367078754578755,0.414056776556777
"GTEX-111FC-3126-SM-5GZZ2",0.426556776556777,0.381501831501831,0.287637362637363,0.23003663003663,0.399404761904762,0.307554945054945,0.137957875457875,0.0723443223443223,0.05,0.294871794871795,0.0980769230769231,0.118269230769231,0.151510989010989,0.379120879120879
"GTEX-111FC-3326-SM-5GZYV",0.307921245421245,0.412957875457875,0.278205128205128,0.328113553113553,0.329716117216117,0.314056776556777,0.307051282051282,0.182005494505494,0.0691391941391941,0.351556776556777,0.0901556776556777,0.115201465201465,0.174130036630037,0.437591575091575
"GTEX-111VG-0326-SM-5GZX7",0.0773351648351648,-0.0702380952380952,0.278250915750916,0.0621794871794872,0.0926282051282051,0.0660714285714286,0.0664835164835165,0.240018315018315,0.173672161172161,0.0572344322344322,0.157509157509158,0.169551282051282,0.185851648351648,-0.0112179487179487
"GTEX-111VG-0526-SM-5N9BW",-0.102518315018315,0.0407509157509157,0.150595238095238,0.0834249084249084,-0.136630036630037,-0.195558608058608,-0.0643315018315018,0.0584249084249084,-0.198214285714286,-0.0160714285714286,-0.0417124542124542,-0.109203296703297,-0.117399267399267,-0.0208333333333333
"GTEX-111VG-0726-SM-5GIDC",-0.144734432234432,-0.251327838827839,-0.0216575091575092,-0.169276556776557,-0.147527472527473,-0.230631868131868,-0.207875457875458,0.0679945054945055,-0.104899267399267,-0.108104395604396,-0.125457875457875,-0.189835164835165,-0.116117216117216,-0.215338827838828
"GTEX-111VG-1626-SM-5EGIO",-0.290384615384615,-0.116712454212454,-0.265567765567766,-0.208836996336996,-0.189148351648352,-0.143360805860806,-0.180860805860806,-0.141804029304029,-0.185164835164835,-0.136263736263736,-0.243406593406593,-0.241712454212454,-0.143086080586081,-0.0993589743589744
"GTEX-111VG-1926-SM-5GIDO",0.0395604395604396,0.105998168498168,0.0416666666666667,0.0372710622710623,-0.0500915750915751,-0.00274725274725275,-0.101419413919414,-0.0531135531135531,-0.136858974358974,0.0818681318681319,-0.0397893772893773,0.0275641025641026,-0.0615384615384615,0.0114010989010989
"GTEX-111VG-2226-SM-5N9DU",0.0870879120879121,-0.0188186813186813,0.13003663003663,0.142078754578755,0.0973443223443223,0.0994505494505494,0.0610805860805861,0.211492673992674,0.0695970695970696,0.0131410256410256,0.043543956043956,0.0535714285714286,0.0659798534798535,0.0177197802197802
"GTEX-111VG-2326-SM-5N9BK",0.174313186813187,0.188782051282051,0.276694139194139,0.25279304029304,0.11510989010989,0.11007326007326,0.257738095238095,0.315521978021978,0.304395604395604,0.191575091575092,0.301236263736264,0.193635531135531,0.242673992673993,0.129716117216117
